Type,Message
ham,Which is weird because I know I had it at one point
ham,Dear we are going to our rubber place
ham,Still in the area of the restaurant. Ill try to come back soon
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx
ham,Sweet heart how are you?
spam,You have 1 new message. Please call 08718738034.
ham,Its just the effect of irritation. Just ignore it
ham,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ..."
ham,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad"
ham,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
ham,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.
ham,Should I be stalking u?
ham,Do you like Italian food?
ham,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance"
ham,Going to join tomorrow.
ham,Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...
ham,Sac will score big hundred.he is set batsman:-)
spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,U buy newspapers already?
ham,East coast
ham,Is that what time you want me to come?
ham,Where @
ham,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.
ham,"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor..."
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?
spam,You have 1 new message. Call 0207-083-6089
ham,"Alright, see you in a bit"
ham,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates
ham,At home by the way
ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
ham,:-( that's not v romantic!
ham,Carlos says he'll be at mu in  &lt;#&gt;  minutes
ham,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
ham,You unbelievable faglord
ham,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
ham,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? 
ham,Dear are you angry i was busy dear
ham,Wait . I will msg after  &lt;#&gt;  min.
ham,I am sorry it hurt you.
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
ham,"(And my man carlos is definitely coming by mu tonight, no excuses)"
ham,What are youdoing later? Sar xxx
ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
spam,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020"
ham,It should take about  &lt;#&gt;  min
ham,"It‘s reassuring, in this crazy world."
spam,You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
ham,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.
ham,Oh all have to come ah?
ham,You will go to walmart. I.ll stay.
ham,That's significant but dont worry.
ham,Oh is it! Which brand?
ham,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com
ham,Would really appreciate if you call me. Just need someone to talk to.
ham,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat..."
ham,Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not.
ham,Kay... Since we are out already 
ham,Every day i use to sleep after  &lt;#&gt;  so only.
ham,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know."
ham,So what do you guys do.
